epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,210.294,0.7747,2.70555,0.54795,0.52274,1.18584,0.98349,0.98634,0.98101,0.8181,0.93147,0.93046,0.91728,0.59323,0.64717,1.51089,0.27175,0.47398,1.1868,0.0009704,0.0009704,0.0009704
28,216.814,0.74489,2.77279,0.53167,0.51706,1.1602,0.98338,0.98675,0.9837,0.83869,0.95038,0.95364,0.94064,0.68999,0.59138,1.25343,0.2648,0.39046,1.11352,0.0009308,0.0009308,0.0009308
29,223.335,0.77165,2.69247,0.5457,0.53129,1.19011,0.98341,0.98675,0.98183,0.8104,0.95699,0.96026,0.94812,0.67636,0.67116,1.27215,0.26318,0.39836,1.16494,0.0008912,0.0008912,0.0008912
30,229.873,0.71599,2.31131,0.53373,0.49256,1.16991,0.98404,0.98675,0.98055,0.83668,0.95087,0.95364,0.94221,0.6912,0.60036,1.19252,0.27179,0.38802,1.12914,0.0008516,0.0008516,0.0008516
31,236.409,0.76552,2.38106,0.51487,0.51638,1.1968,0.98319,0.98675,0.98127,0.83438,0.95349,0.95695,0.94045,0.7188,0.57635,1.15508,0.25275,0.36146,1.11087,0.000812,0.000812,0.000812
32,243.088,0.69841,2.28434,0.51699,0.48506,1.16321,0.98294,0.98675,0.98487,0.83165,0.94994,0.95364,0.94434,0.74784,0.61733,1.11834,0.26414,0.35928,1.1442,0.0007724,0.0007724,0.0007724
33,249.578,0.7178,2.40205,0.50514,0.47047,1.17508,0.98674,0.98541,0.98514,0.8548,0.95027,0.94909,0.9419,0.72065,0.57584,1.22341,0.2493,0.35718,1.07929,0.0007328,0.0007328,0.0007328
34,256.098,0.73229,2.35678,0.50449,0.49922,1.176,0.98349,0.98628,0.98437,0.84305,0.95049,0.95348,0.94376,0.70172,0.61776,1.17001,0.24553,0.36985,1.10498,0.0006932,0.0006932,0.0006932
35,262.598,0.68454,2.11445,0.50107,0.47376,1.13451,0.98333,0.98675,0.98475,0.86399,0.95028,0.95364,0.94621,0.75329,0.53895,1.0231,0.26088,0.34723,1.07058,0.0006536,0.0006536,0.0006536
36,269.138,0.67107,2.07641,0.5163,0.45326,1.13972,0.9798,0.98675,0.98605,0.8765,0.95021,0.95695,0.95337,0.73103,0.52647,1.10016,0.27936,0.33366,1.07092,0.000614,0.000614,0.000614
37,275.64,0.64319,1.98122,0.50929,0.44252,1.11016,0.98007,0.98675,0.98552,0.87731,0.94716,0.95364,0.94612,0.76998,0.50843,0.97047,0.26437,0.32581,1.05966,0.0005744,0.0005744,0.0005744
38,282.163,0.66754,2.00904,0.5072,0.43633,1.12704,0.97944,0.98675,0.98235,0.85983,0.94657,0.95364,0.94162,0.75373,0.5194,0.98259,0.25406,0.32952,1.0634,0.0005348,0.0005348,0.0005348
39,288.683,0.65655,1.98823,0.4986,0.44296,1.12278,0.97988,0.98675,0.98326,0.8719,0.947,0.95364,0.94588,0.74822,0.49876,0.97348,0.25131,0.31394,1.04662,0.0004952,0.0004952,0.0004952
40,295.36,0.65832,1.86933,0.49902,0.44133,1.14174,0.98671,0.98313,0.98416,0.86762,0.9568,0.95337,0.94305,0.76769,0.48693,0.9518,0.2523,0.30726,1.04742,0.0004556,0.0004556,0.0004556
41,313.261,0.52972,1.2521,0.30109,0.34837,1.12625,0.98377,0.98013,0.98438,0.86702,0.95276,0.96026,0.95224,0.76597,0.52474,0.93939,0.23867,0.33003,1.04943,0.000416,0.000416,0.000416
42,319.765,0.50387,1.1738,0.26574,0.3328,1.10055,0.98401,0.98675,0.98522,0.88502,0.95709,0.96026,0.95305,0.8041,0.48823,0.863,0.1986,0.30758,1.03881,0.0003764,0.0003764,0.0003764
43,326.285,0.51091,1.17345,0.22898,0.327,1.09276,0.9847,0.98675,0.98505,0.88377,0.9581,0.96026,0.95439,0.79294,0.49171,0.93169,0.16731,0.29588,1.02409,0.0003368,0.0003368,0.0003368
44,332.785,0.489,1.15679,0.21551,0.3169,1.07445,0.98346,0.98675,0.98585,0.8972,0.95703,0.96026,0.95378,0.81277,0.46677,0.83555,0.1393,0.28623,1.0118,0.0002972,0.0002972,0.0002972
45,339.283,0.47215,1.11427,0.19489,0.30663,1.07648,0.98324,0.98675,0.98678,0.89783,0.95021,0.95364,0.94801,0.81527,0.45663,0.81942,0.11986,0.28583,1.01332,0.0002576,0.0002576,0.0002576
46,345.776,0.46098,1.00422,0.1869,0.30409,1.04921,0.98313,0.98675,0.98774,0.90532,0.95014,0.95364,0.94965,0.81904,0.45072,0.80256,0.10961,0.28311,1.00894,0.000218,0.000218,0.000218
47,352.275,0.4533,0.99674,0.17517,0.29596,1.05519,0.98317,0.98675,0.98847,0.90334,0.95018,0.95364,0.94993,0.84249,0.45126,0.75771,0.10109,0.28326,1.01711,0.0001784,0.0001784,0.0001784
48,358.765,0.43914,0.94248,0.16569,0.29125,1.05733,0.98321,0.98675,0.98807,0.90962,0.95022,0.95364,0.95237,0.8406,0.43432,0.75404,0.09428,0.27012,1.00238,0.0001388,0.0001388,0.0001388
49,365.243,0.43969,0.96975,0.15488,0.2821,1.05382,0.98322,0.98675,0.98805,0.90777,0.95022,0.95364,0.95299,0.84556,0.43325,0.73924,0.09224,0.27007,1.00253,9.92e-05,9.92e-05,9.92e-05
50,371.904,0.4431,0.93455,0.15115,0.27886,1.03211,0.98338,0.98675,0.98847,0.90818,0.95037,0.95364,0.95484,0.8533,0.43019,0.73257,0.09328,0.2663,0.99968,5.96e-05,5.96e-05,5.96e-05
