epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,376.385,0.62322,1.36358,0.29492,0.40759,1.11595,0.98282,0.98624,0.98128,0.88781,0.94967,0.95298,0.94608,0.84261,0.47019,0.75753,0.04598,0.29082,1.02505,0.0009704,0.0009704,0.0009704
28,387.357,0.60096,1.27906,0.28094,0.39322,1.08192,0.98573,0.98624,0.98468,0.88721,0.95934,0.95986,0.9469,0.82989,0.44537,0.74216,0.0353,0.27751,1.00507,0.0009308,0.0009308,0.0009308
29,398.562,0.60025,1.27113,0.27674,0.3973,1.09964,0.98556,0.98624,0.98532,0.88682,0.95223,0.95298,0.9466,0.85636,0.45395,0.67154,0.04589,0.29514,1.00695,0.0008912,0.0008912,0.0008912
30,410.821,0.60141,1.31807,0.27752,0.39411,1.0856,0.98279,0.98624,0.98691,0.90967,0.95308,0.95642,0.9562,0.86263,0.46316,0.7601,0.02801,0.27709,1.00951,0.0008516,0.0008516,0.0008516
31,423.452,0.59773,1.14971,0.27687,0.3961,1.10039,0.98621,0.98388,0.98628,0.89754,0.95977,0.95751,0.94552,0.84845,0.43974,0.70606,0.03655,0.27009,1.01063,0.000812,0.000812,0.000812
32,437.59,0.5807,1.17654,0.28447,0.37724,1.06913,0.98261,0.98624,0.98743,0.90345,0.94948,0.95298,0.95164,0.85769,0.43834,0.70736,0.03831,0.27243,0.99065,0.0007724,0.0007724,0.0007724
33,449.585,0.57912,1.25907,0.28533,0.38251,1.08116,0.98568,0.98624,0.98642,0.89109,0.95567,0.95642,0.94778,0.8623,0.44515,0.71032,0.04915,0.2689,0.99858,0.0007328,0.0007328,0.0007328
34,462.269,0.55593,1.12317,0.27364,0.37696,1.06205,0.9862,0.98355,0.98605,0.89651,0.95976,0.9572,0.94609,0.85246,0.43337,0.67805,0.03393,0.26072,0.98347,0.0006932,0.0006932,0.0006932
35,475.553,0.54731,1.09536,0.27334,0.36738,1.05346,0.98273,0.98624,0.98855,0.91485,0.95644,0.95986,0.95663,0.88615,0.41328,0.65096,0.03055,0.25078,0.97688,0.0006536,0.0006536,0.0006536
36,489.092,0.57673,1.13458,0.27176,0.3808,1.09074,0.98569,0.98624,0.98728,0.91174,0.95932,0.95986,0.95968,0.87485,0.41959,0.64815,0.04265,0.25037,0.98305,0.000614,0.000614,0.000614
37,500.525,0.53541,1.05598,0.27651,0.35814,1.05293,0.98246,0.98624,0.98578,0.91117,0.95619,0.95986,0.95526,0.874,0.41505,0.63172,0.04126,0.2503,0.98063,0.0005744,0.0005744,0.0005744
38,512.526,0.56001,1.11769,0.26658,0.3637,1.0665,0.98353,0.98624,0.98875,0.91704,0.95037,0.95298,0.95422,0.87241,0.41024,0.63728,0.04303,0.24871,0.98025,0.0005348,0.0005348,0.0005348
39,524.756,0.52476,0.97752,0.27388,0.35515,1.0485,0.98958,0.98026,0.98749,0.91191,0.95601,0.94701,0.95169,0.89324,0.42288,0.58684,0.03014,0.25294,0.97915,0.0004952,0.0004952,0.0004952
40,536.823,0.52653,0.99275,0.26947,0.35032,1.05539,0.98548,0.98624,0.9877,0.91653,0.94392,0.9461,0.94432,0.8792,0.42325,0.69863,0.03589,0.24948,0.98711,0.0004556,0.0004556,0.0004556
41,559.974,0.42267,0.72857,0.06898,0.26426,1.03167,0.98593,0.98624,0.98469,0.91333,0.95612,0.95642,0.95418,0.88587,0.41834,0.57476,0.02464,0.25008,0.97918,0.000416,0.000416,0.000416
42,570.718,0.42054,0.65322,0.06129,0.2601,1.01174,0.98578,0.98624,0.98665,0.91799,0.95254,0.95298,0.95339,0.90948,0.41199,0.62096,0.02169,0.24592,0.97112,0.0003764,0.0003764,0.0003764
43,581.427,0.40581,0.61872,0.04847,0.25518,1.01381,0.9862,0.98376,0.98604,0.91856,0.96321,0.96083,0.96276,0.91058,0.40232,0.52292,0.01437,0.24716,0.96531,0.0003368,0.0003368,0.0003368
44,592.195,0.40703,0.61069,0.04954,0.25426,1.00768,0.98576,0.98624,0.98776,0.93138,0.9594,0.95986,0.96021,0.91522,0.38836,0.5232,0.01327,0.23618,0.9593,0.0002972,0.0002972,0.0002972
45,602.773,0.39666,0.61617,0.0483,0.24292,1.00667,0.98592,0.98624,0.98773,0.92722,0.95611,0.95642,0.96017,0.91137,0.38664,0.57135,0.01421,0.23662,0.96297,0.0002576,0.0002576,0.0002576
46,613.389,0.37487,0.57535,0.04313,0.23821,0.97596,0.98585,0.98624,0.98819,0.93884,0.96292,0.9633,0.96874,0.92756,0.37173,0.48106,0.01298,0.2234,0.94458,0.000218,0.000218,0.000218
47,624.791,0.36539,0.57985,0.04271,0.23321,0.97666,0.98602,0.98624,0.98825,0.9405,0.96309,0.9633,0.96718,0.92702,0.36161,0.49826,0.01294,0.21675,0.9406,0.0001784,0.0001784,0.0001784
48,638.416,0.35384,0.58588,0.0452,0.22147,0.97472,0.98604,0.98624,0.98859,0.94015,0.96311,0.9633,0.96739,0.93046,0.35398,0.46544,0.01391,0.2258,0.93245,0.0001388,0.0001388,0.0001388
49,652.013,0.35506,0.53308,0.04151,0.22584,0.96686,0.98606,0.98624,0.98907,0.94317,0.96313,0.9633,0.96821,0.932,0.34678,0.53272,0.01248,0.21462,0.92927,9.92e-05,9.92e-05,9.92e-05
50,666.04,0.35223,0.53193,0.03708,0.22226,0.96708,0.98601,0.98624,0.98906,0.94334,0.96308,0.9633,0.96813,0.93677,0.34714,0.48004,0.01158,0.21345,0.93011,5.96e-05,5.96e-05,5.96e-05
